#Person location Sublocation StartTime EndTime Type
40012 1439 1 14414880 0 1
40046 970 1 10395900 0 1
40019 5117 1 17631060 0 1
40010 971 1 10325820 0 1
40057 996 1 9200700 0 1
40013 975 1 10260180 0 1
40036 5186 1 8836260 0 1
40001 1224 1 10257840 0 1
40001 1039 1 10264080 0 1
40037 982 1 9614700 0 1
40006 976 1 8190240 0 1
40016 5183 1 9492180 0 1
40017 5116 1 8396400 0 1
40044 983 1 9550440 0 1
40054 5120 1 9058620 0 1
40052 1216 1 10301520 0 1
40004 5041 1 8949480 0 1
40004 973 1 8955840 0 1
40022 997 1 8843940 0 1
40045 970 1 7885320 0 1
40009 5188 1 10191480 0 1
40034 5189 1 8959200 0 1
40014 1052 1 8420520 0 1
40014 1052 1 8422320 0 1
40024 978 1 10518600 0 1
40024 1111 1 10530720 0 1
40020 512 1 9754680 0 1
40013 975 1 10270740 0 1
40049 5038 1 9047640 0 1
40015 5195 1 8303640 0 1
40011 971 1 8698980 0 1
40011 971 1 8711160 0 1
40003 1014 1 20517900 0 1
40054 986 1 9091500 0 1
40047 1274 1 25903140 0 1
40022 5038 1 8696160 0 1
40022 968 1 8696760 0 1
40022 976 1 8727180 0 1
40022 993 1 8748900 0 1
40022 995 1 8810820 0 1
40008 5302 1 8111040 0 1
40033 991 1 10093260 0 1
40002 975 1 10199160 0 1
40035 1103 1 8578920 0 1
40035 5257 1 8558460 0 1
40024 1111 1 10523700 0 1
40013 5266 1 10271400 0 1
40036 973 1 8836320 0 1
40015 987 1 8325060 0 1
40011 1117 1 8684460 0 1
40011 1074 1 8684460 0 1
40038 810 1 26424240 0 1
40032 1120 1 8150400 0 1
40007 969 1 8025780 0 1
40053 977 1 9661140 0 1
40021 5035 1 9436500 0 1
40022 968 1 8708580 0 1
40000 5187 1 9084780 0 1
40008 982 1 8135580 0 1
40035 972 1 8566680 0 1
40014 1052 1 8424240 0 1
40019 5117 1 17631240 0 1
40027 969 1 9407520 0 1
40024 978 1 10512840 0 1
40013 5027 1 10259940 0 1
40013 5124 1 10259940 0 1
40013 5124 1 10260000 0 1
40015 977 1 8304360 0 1
40011 1074 1 8685120 0 1
40006 996 1 8208420 0 1
40016 1068 1 9510480 0 1
40058 764 1 11836620 0 1
